id,curso_actual,tema_actual,curso_canonico,tema_canonico,tema_id,cambia
7761,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7762,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7763,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7764,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7765,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7766,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7767,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7768,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7769,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7770,Algebra,Factorial,Algebra,Factorial,12,True
7771,Algebra,Factorial,Algebra,Factorial,12,True
7772,Algebra,Factorial,Algebra,Factorial,12,True
7773,Algebra,Factorial,Algebra,Factorial,12,True
7774,Algebra,Factorial,Algebra,Factorial,12,True
7775,Algebra,Factorial,Algebra,Factorial,12,True
7776,Algebra,Factorial,Algebra,Factorial,12,True
7777,Algebra,Factorial,Algebra,Factorial,12,True
7778,Algebra,Factorial,Algebra,Factorial,12,True
7779,Algebra,Factorial,Algebra,Factorial,12,True
7780,Algebra,Factorial,Algebra,Factorial,12,True
7781,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7782,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7783,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7784,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7785,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7786,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7787,Algebra,Factorial,Algebra,Factorial,12,True
7788,Algebra,Factorial,Algebra,Factorial,12,True
7789,Algebra,Factorial,Algebra,Factorial,12,True
7790,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7791,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7792,Algebra,Factorial,Algebra,Factorial,12,True
7793,Algebra,Factorial,Algebra,Factorial,12,True
7794,Algebra,Factorial,Algebra,Factorial,12,True
7795,Algebra,Factorial,Algebra,Factorial,12,True
7796,Algebra,Factorial,Algebra,Factorial,12,True
7797,Algebra,Factorial,Algebra,Factorial,12,True
7798,Algebra,Factorial,Algebra,Factorial,12,True
7799,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7800,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7801,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7802,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7803,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7804,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7805,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7806,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7807,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7808,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7809,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7810,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7811,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7812,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7813,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7814,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7815,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7816,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7817,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7818,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7819,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7820,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7821,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7822,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7823,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7824,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7825,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7826,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7827,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7828,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7829,Algebra,Binomio de Newton,Algebra,Binomio de Newton,1,True
7830,Algebra,Combinatoria,Algebra,Combinatoria,3,True
7831,Algebra,Combinatoria,Algebra,Combinatoria,3,True
