id,curso_actual,tema_actual,motivo
3214,Algebra,Teoria de Exponentes,tema_no_mapeado
3215,Algebra,Teoria de Exponentes,tema_no_mapeado
3216,Algebra,Teoria de Exponentes,tema_no_mapeado
3217,Algebra,Teoria de Exponentes,tema_no_mapeado
3218,Algebra,Teoria de Exponentes,tema_no_mapeado
3219,Algebra,Teoria de Exponentes,tema_no_mapeado
3220,Algebra,Teoria de Exponentes,tema_no_mapeado
3221,Algebra,Teoria de Exponentes,tema_no_mapeado
3222,Algebra,Teoria de Exponentes,tema_no_mapeado
3223,Algebra,Teoria de Exponentes,tema_no_mapeado
3224,Algebra,Teoria de Exponentes,tema_no_mapeado
3225,Algebra,Teoria de Exponentes,tema_no_mapeado
3226,Algebra,Teoria de Exponentes,tema_no_mapeado
3227,Algebra,Teoria de Exponentes,tema_no_mapeado
3228,Algebra,Teoria de Exponentes,tema_no_mapeado
3229,Algebra,Teoria de Exponentes,tema_no_mapeado
3230,Algebra,Teoria de Exponentes,tema_no_mapeado
3231,Algebra,Teoria de Exponentes,tema_no_mapeado
3232,Algebra,Teoria de Exponentes,tema_no_mapeado
3233,Algebra,Teoria de Exponentes,tema_no_mapeado
3234,Algebra,Teoria de Exponentes,tema_no_mapeado
3235,Algebra,Teoria de Exponentes,tema_no_mapeado
3236,Algebra,Teoria de Exponentes,tema_no_mapeado
3237,Algebra,Teoria de Exponentes,tema_no_mapeado
3238,Algebra,Teoria de Exponentes,tema_no_mapeado
3239,Algebra,Teoria de Exponentes,tema_no_mapeado
3240,Algebra,Teoria de Exponentes,tema_no_mapeado
3241,Algebra,Teoria de Exponentes,tema_no_mapeado
3242,Algebra,Teoria de Exponentes,tema_no_mapeado
3243,Algebra,Teoria de Exponentes,tema_no_mapeado
3244,Algebra,Teoria de Exponentes,tema_no_mapeado
3245,Algebra,Teoria de Exponentes,tema_no_mapeado
3246,Algebra,Teoria de Exponentes,tema_no_mapeado
3247,Algebra,Teoria de Exponentes,tema_no_mapeado
3248,Algebra,Teoria de Exponentes,tema_no_mapeado
3249,Algebra,Teoria de Exponentes,tema_no_mapeado
3250,Algebra,Teoria de Exponentes,tema_no_mapeado
3251,Algebra,Teoria de Exponentes,tema_no_mapeado
3252,Algebra,Teoria de Exponentes,tema_no_mapeado
3253,Algebra,Teoria de Exponentes,tema_no_mapeado
3254,Algebra,Teoria de Exponentes,tema_no_mapeado
3255,Algebra,Teoria de Exponentes,tema_no_mapeado
3256,Algebra,Teoria de Exponentes,tema_no_mapeado
3329,Algebra,Teoria de Exponentes,tema_no_mapeado
