id,curso,tema,subtema,tema_id,subtema_id
489,Trigonometria,Longitud de Arco,,,
490,Trigonometria,Longitud de Arco,,,
491,Trigonometria,Longitud de Arco,,,
492,Trigonometria,Sector Circular,,,
493,Trigonometria,Longitud de Arco,,,
494,Trigonometria,Longitud de Arco,,,
495,Trigonometria,Sector Circular,,,
496,Trigonometria,Longitud de Arco,,,
497,Trigonometria,Sector Circular,,,
498,Trigonometria,Longitud de Arco,,,
499,Trigonometria,Sector Circular,,,
500,Trigonometria,Sector Circular,,,
501,Trigonometria,Longitud de Arco,,,
502,Trigonometria,Longitud de Arco,,,
503,Trigonometria,Longitud de Arco,,,
504,Trigonometria,Sector Circular,,,
505,Trigonometria,Sector Circular,,,
506,Trigonometria,Longitud de Arco,,,
507,Trigonometria,Longitud de Arco,,,
508,Trigonometria,Longitud de Arco,,,
509,Trigonometria,Longitud de Arco,,,
510,Trigonometria,Longitud de Arco,,,
511,Trigonometria,Longitud de Arco,,,
512,Trigonometria,Longitud de Arco,,,
513,Trigonometria,Longitud de Arco,,,
514,Trigonometria,Longitud de Arco,,,
515,Trigonometria,Longitud de Arco,,,
516,Trigonometria,Sector Circular,,,
517,Trigonometria,Longitud de Arco,,,
518,Trigonometria,Longitud de Arco,,,
519,Trigonometria,Sector Circular,,,
520,Trigonometria,Longitud de Arco,,,
521,Trigonometria,Longitud de Arco,,,
522,Trigonometria,Longitud de Arco,,,
523,Trigonometria,Longitud de Arco,,,
524,Trigonometria,Longitud de Arco,,,
525,Trigonometria,Longitud de Arco,,,
526,Trigonometria,Longitud de Arco,,,
527,Trigonometria,Longitud de Arco,,,
528,Trigonometria,Sector Circular,,,
529,Trigonometria,Longitud de Arco,,,
530,Trigonometria,Longitud de Arco,,,
531,Trigonometria,Longitud de Arco,,,
532,Trigonometria,Longitud de Arco,,,
533,Trigonometria,Sector Circular,,,
534,Trigonometria,Longitud de Arco,,,
535,Trigonometria,Longitud de Arco,,,
536,Trigonometria,Sector Circular,,,
537,Trigonometria,Sector Circular,,,
538,Trigonometria,Sector Circular,,,
539,Trigonometria,Longitud de Arco,,,
540,Trigonometria,Sector Circular,,,
